date,open,high,low,close,volume,market_cap
2017-03-14,0.000024,0.000037,0.000024,0.000025,1111,311118
2017-03-13,0.000031,0.000033,0.000012,0.000024,683,390260
2017-03-12,0.000024,0.000031,0.000012,0.000030,297,301061
2017-03-11,0.000015,0.000026,0.000013,0.000024,59,190322
2017-03-10,0.000024,0.000035,0.000013,0.000015,631,304321
2017-03-09,0.000013,0.000035,0.000012,0.000024,85,161766
2017-03-08,0.000024,0.000035,0.000012,0.000013,37,312987
2017-03-07,0.000025,0.000026,0.000013,0.000024,192,325815
2017-03-06,0.000025,0.000038,0.000013,0.000025,155,324450
2017-03-05,0.000013,0.000037,0.000013,0.000025,432,167029
2017-03-04,0.000026,0.000037,0.000013,0.000013,332,329446
2017-03-03,0.000013,0.000037,0.000013,0.000026,869,162686
2017-03-02,0.000025,0.000025,0.000012,0.000013,935,314109
2017-03-01,0.000012,0.000036,0.000012,0.000025,873,153386
2017-02-28,0.000024,0.000024,0.000012,0.000012,425,302110
2017-02-27,0.000023,0.000037,0.000023,0.000024,189,297776
2017-02-26,0.000024,0.000026,0.000023,0.000023,370,304681
2017-02-25,0.000024,0.000024,0.000022,0.000024,589,300684
2017-02-24,0.000025,0.000036,0.000023,0.000024,456,314010
2017-02-23,0.000022,0.000025,0.000022,0.000024,58,285875
2017-02-22,0.000022,0.000032,0.000022,0.000022,280,285243
2017-02-21,0.000022,0.000033,0.000022,0.000022,367,285522
2017-02-20,0.000022,0.000027,0.000021,0.000022,63,283732
2017-02-19,0.000022,0.000023,0.000021,0.000022,321,277790
2017-02-18,0.000025,0.000025,0.000021,0.000022,883,316835
2017-02-17,0.000022,0.000031,0.000022,0.000025,75,279888
2017-02-16,0.000021,0.000031,0.000021,0.000022,136,265558
2017-02-15,0.000022,0.000029,0.000020,0.000021,61,284412
2017-02-14,0.000020,0.000030,0.000020,0.000022,84,253755
2017-02-13,0.000020,0.000030,0.000020,0.000020,4367,256981
2017-02-12,0.000022,0.000031,0.000020,0.000020,398,279595
2017-02-11,0.000029,0.000031,0.000020,0.000022,531,376265
2017-02-10,0.000020,0.000029,0.000019,0.000029,280,254751
2017-02-09,0.000021,0.000032,0.000019,0.000020,320,272721
2017-02-08,0.000022,0.000042,0.000021,0.000021,386,282840
2017-02-07,0.000021,0.000038,0.000021,0.000022,1384,266140
2017-02-06,0.000021,0.000031,0.000021,0.000021,424,263136
2017-02-05,0.000021,0.000028,0.000020,0.000021,102,269269
2017-02-04,0.000031,0.000034,0.000020,0.000021,55,391254
2017-02-03,0.000030,0.000041,0.000020,0.000031,1334,386786
2017-02-02,0.000020,0.000040,0.000020,0.000030,2360,253565
2017-02-01,0.000029,0.000029,0.000020,0.000020,989,371810
2017-01-31,0.000027,0.000029,0.000019,0.000029,1517,348133
2017-01-30,0.000019,0.000028,0.000018,0.000027,1241,244890
2017-01-29,0.000019,0.000028,0.000019,0.000019,304,246765
2017-01-28,0.000019,0.000034,0.000018,0.000019,2371,248536
2017-01-27,0.000027,0.000027,0.000018,0.000019,229,347166
2017-01-26,0.000018,0.000027,0.000018,0.000027,685,230781
2017-01-25,0.000025,0.000027,0.000018,0.000018,917,318694
2017-01-24,0.000028,0.000037,0.000025,0.000025,1143,353288
2017-01-23,0.000019,0.000037,0.000018,0.000028,5085,236895
2017-01-22,0.000018,0.000028,0.000009,0.000018,809,235932
2017-01-21,0.000018,0.000021,0.000009,0.000018,500,233596
2017-01-20,0.000018,0.000027,0.000011,0.000018,86,234674
2017-01-19,0.000018,0.000027,0.000009,0.000018,3820,227502
2017-01-18,0.000019,0.000026,0.000017,0.000018,70,245082
2017-01-17,0.000017,0.000027,0.000017,0.000019,212,213005
2017-01-16,0.000017,0.000025,0.000017,0.000017,349,212125
2017-01-15,0.000016,0.000024,0.000016,0.000017,217,209406
2017-01-14,0.000016,0.000024,0.000016,0.000016,119,210832
2017-01-13,0.000016,0.000017,0.000016,0.000016,42,205933
2017-01-12,0.000016,0.000024,0.000015,0.000016,82,199004
2017-01-11,0.000018,0.000024,0.000016,0.000016,583,232247
2017-01-10,0.000018,0.000018,0.000018,0.000018,83,231006
2017-01-09,0.000018,0.000027,0.000018,0.000018,385,233148
2017-01-08,0.000018,0.000024,0.000018,0.000018,60,233909
2017-01-07,0.000022,0.000027,0.000017,0.000018,1361,285384
